t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1785822672.894,0.000,WAIT,idle,2,0,0.001,0.003,0.008,-0.005,0.005,0.002,1.5470
1785822672.994,0.000,WAIT,idle,2,0,0.001,0.003,0.008,-0.004,0.002,0.002,1.5472
1785822673.094,0.000,WAIT,idle,2,0,0.000,0.002,0.008,-0.006,0.002,0.002,1.5471
1785822673.194,0.000,WAIT,idle,2,0,0.000,0.002,0.008,-0.009,0.001,-0.000,1.5472
1785822673.294,0.000,WAIT,idle,2,0,-0.000,0.002,0.007,-0.008,0.003,-0.002,1.5471
1785822673.394,0.000,WAIT,idle,2,0,0.000,0.001,0.006,-0.008,0.002,-0.003,1.5472
1785822673.494,0.000,WAIT,idle,2,0,0.001,0.001,0.005,-0.009,0.001,-0.003,1.5472
1785822673.594,0.000,WAIT,idle,2,0,0.001,0.001,0.004,-0.008,0.001,-0.003,1.5474
1785822673.694,0.000,WAIT,idle,2,0,0.001,0.000,0.004,-0.007,0.001,-0.000,1.5475
1785822673.794,0.000,WAIT,idle,2,0,0.000,0.000,0.004,-0.007,-0.000,-0.000,1.5475
1785822673.894,0.000,WAIT,idle,2,0,0.000,0.000,0.005,-0.006,0.002,0.004,1.5475
1785822673.994,0.000,WAIT,idle,2,0,0.001,-0.000,0.006,-0.006,0.001,0.005,1.5476
1785822674.094,0.000,WAIT,idle,2,0,0.001,-0.000,0.007,-0.007,0.000,0.007,1.5475
1785822674.194,0.000,WAIT,idle,2,0,0.001,-0.000,0.008,-0.006,-0.001,0.007,1.5477
1785822674.294,0.000,WAIT,idle,2,0,0.001,-0.000,0.009,-0.007,0.000,0.009,1.5477
1785822674.394,0.000,WAIT,idle,2,0,0.001,-0.000,0.009,-0.007,-0.001,0.006,1.5480
1785822674.494,0.000,WAIT,idle,2,0,0.001,-0.000,0.010,-0.005,0.002,0.004,1.5480
1785822674.594,0.000,WAIT,idle,2,0,0.001,0.000,0.009,-0.006,0.001,0.002,1.5481
1785822674.694,0.000,WAIT,idle,2,0,0.001,0.000,0.009,-0.004,0.002,0.003,1.5483
1785822674.794,0.000,WAIT,idle,2,0,0.003,0.000,0.009,-0.002,0.000,0.003,1.5481
1785822674.894,0.000,WAIT,idle,2,0,0.004,0.000,0.009,0.001,-0.002,0.002,1.5478
1785822674.994,0.000,WAIT,idle,2,0,0.005,-0.000,0.008,0.000,-0.004,0.001,1.5477
1785822675.094,0.000,WAIT,idle,2,0,0.005,-0.001,0.008,-0.003,-0.004,0.001,1.5475
1785822675.194,0.000,WAIT,idle,2,0,0.006,-0.001,0.008,-0.005,-0.003,-0.001,1.5474
1785822675.294,0.000,WAIT,idle,2,0,0.006,-0.001,0.007,-0.005,-0.003,-0.002,1.5476
1785822675.394,0.000,WAIT,idle,2,0,0.006,-0.002,0.007,-0.005,-0.004,-0.002,1.5475
1785822675.494,0.000,WAIT,idle,2,0,0.006,-0.001,0.007,-0.006,-0.000,-0.004,1.5476
1785822675.594,0.000,WAIT,idle,2,0,0.006,-0.001,0.006,-0.003,0.000,-0.004,1.5474
1785822675.694,0.000,WAIT,idle,2,0,0.006,-0.001,0.005,-0.004,0.001,-0.004,1.5474
1785822675.794,0.000,WAIT,idle,2,0,0.006,-0.000,0.005,-0.004,0.000,-0.002,1.5474
1785822675.894,0.000,WAIT,idle,2,0,0.005,-0.001,0.006,-0.007,-0.002,-0.003,1.5475
1785822675.994,0.000,WAIT,idle,2,0,0.004,-0.001,0.006,-0.008,-0.002,0.001,1.5472
1785822676.094,0.000,WAIT,idle,2,0,0.003,-0.001,0.007,-0.009,-0.000,0.002,1.5473
1785822676.194,0.000,WAIT,idle,2,0,0.003,-0.000,0.008,-0.010,0.001,-0.001,1.5474
1785822676.294,0.000,WAIT,idle,2,0,0.002,-0.000,0.008,-0.005,-0.001,0.001,1.5474
1785822676.394,0.000,WAIT,idle,2,0,0.003,-0.000,0.008,-0.005,0.003,0.000,1.5472
1785822676.494,0.000,WAIT,idle,2,0,0.002,0.000,0.007,-0.005,0.002,-0.000,1.5474
1785822676.594,0.000,WAIT,idle,2,0,0.002,0.000,0.007,-0.006,0.002,-0.001,1.5478
1785822676.694,0.000,WAIT,idle,2,0,0.002,-0.000,0.006,-0.006,0.000,-0.004,1.5480
1785822676.794,0.000,WAIT,idle,2,0,0.001,0.000,0.005,-0.007,0.002,-0.006,1.5482
1785822676.894,0.000,WAIT,idle,2,0,0.001,0.000,0.004,-0.008,0.002,-0.004,1.5482
1785822676.994,0.000,WAIT,idle,2,0,0.001,0.000,0.003,-0.007,0.002,-0.004,1.5481
1785822677.094,0.000,WAIT,idle,2,0,0.000,0.000,0.003,-0.008,0.004,-0.003,1.5483
1785822677.194,0.000,WAIT,idle,2,0,0.000,0.000,0.002,-0.006,0.005,-0.003,1.5482
1785822677.294,0.000,WAIT,idle,2,0,0.000,0.001,0.002,-0.007,0.005,-0.002,1.5482
1785822677.394,0.000,WAIT,idle,2,0,0.001,0.001,0.002,-0.006,0.003,-0.003,1.5479
1785822677.494,0.000,WAIT,idle,2,0,0.001,0.001,0.002,-0.004,0.005,-0.005,1.5477
1785822677.594,0.000,WAIT,idle,2,0,0.002,0.001,0.002,-0.002,0.003,-0.005,1.5473
1785822677.694,0.000,WAIT,idle,2,0,0.003,0.001,0.001,0.000,0.002,-0.006,1.5474
1785822677.794,0.000,WAIT,idle,2,0,0.004,0.000,0.001,0.001,-0.002,-0.006,1.5471
1785822677.894,0.000,WAIT,idle,2,0,0.004,-0.000,0.002,-0.001,-0.003,-0.005,1.5470
1785822677.994,0.000,WAIT,idle,2,0,0.004,-0.001,0.001,-0.001,-0.006,-0.006,1.5468
1785822678.094,0.000,WAIT,idle,2,0,0.005,-0.002,0.001,-0.002,-0.007,-0.008,1.5469
1785822678.194,0.000,WAIT,idle,2,0,0.005,-0.003,0.000,-0.000,-0.009,-0.007,1.5469
1785822678.294,0.000,WAIT,idle,2,0,0.004,-0.003,-0.001,0.001,-0.009,-0.003,1.5471
1785822678.394,0.000,WAIT,idle,2,0,0.004,-0.003,-0.001,0.001,-0.006,-0.002,1.5472
1785822678.494,0.000,WAIT,idle,2,0,0.004,-0.003,-0.001,-0.001,-0.003,-0.003,1.5473
1785822678.594,0.000,WAIT,idle,2,0,0.004,-0.002,-0.001,-0.001,-0.003,-0.003,1.5475
1785822678.694,0.000,WAIT,idle,2,0,0.003,-0.002,-0.001,0.001,-0.004,0.002,1.5474
1785822678.794,0.000,WAIT,idle,2,0,0.003,-0.002,0.001,-0.002,-0.003,0.005,1.5473
1785822678.894,0.000,WAIT,idle,2,0,0.003,-0.002,0.003,-0.003,-0.002,0.004,1.5474
1785822678.994,0.000,WAIT,idle,2,0,0.002,-0.001,0.004,-0.005,-0.002,0.006,1.5472
1785822679.094,0.000,WAIT,idle,2,0,0.002,-0.001,0.006,-0.005,0.000,0.006,1.5472
1785822679.194,0.000,WAIT,idle,2,0,0.002,-0.000,0.007,-0.006,0.001,0.003,1.5472
1785822679.294,0.000,WAIT,idle,2,0,0.003,0.000,0.007,-0.007,0.003,0.004,1.5471
1785822679.394,0.000,WAIT,idle,2,0,0.002,0.001,0.008,-0.007,0.004,0.005,1.5473
1785822679.494,0.000,WAIT,idle,2,0,0.003,0.001,0.008,-0.003,0.004,0.007,1.5473
1785822679.594,0.000,WAIT,idle,2,0,0.003,0.002,0.009,-0.002,0.006,0.006,1.5472
1785822679.694,0.000,WAIT,idle,2,0,0.004,0.002,0.009,0.001,0.007,0.009,1.5470
1785822679.794,0.000,WAIT,idle,2,0,0.005,0.003,0.009,0.003,0.008,0.008,1.5469
1785822679.894,0.000,WAIT,idle,2,0,0.006,0.003,0.009,0.003,0.008,0.005,1.5467
1785822679.994,0.000,WAIT,idle,2,0,0.006,0.003,0.009,0.004,0.009,0.001,1.5467
1785822680.094,0.000,WAIT,idle,2,0,0.006,0.004,0.008,0.005,0.006,0.000,1.5467
1785822680.194,0.000,WAIT,idle,2,0,0.007,0.003,0.007,0.003,0.005,-0.001,1.5465
1785822680.294,0.000,WAIT,idle,2,0,0.007,0.002,0.006,0.002,0.000,-0.003,1.5466
1785822680.394,0.000,WAIT,idle,2,0,0.007,0.001,0.006,0.001,-0.004,-0.003,1.5465
1785822680.494,0.000,WAIT,idle,2,0,0.007,0.000,0.006,0.002,-0.003,-0.000,1.5462
1785822680.594,0.000,WAIT,idle,2,0,0.008,-0.000,0.007,0.002,-0.002,0.000,1.5461
1785822680.694,0.000,WAIT,idle,2,0,0.008,-0.000,0.007,0.002,-0.003,0.000,1.5461
1785822680.794,0.000,WAIT,idle,2,0,0.008,-0.000,0.008,0.003,-0.001,0.003,1.5461
1785822680.894,0.000,WAIT,idle,2,0,0.007,-0.000,0.008,0.005,-0.003,0.005,1.5459
1785822680.994,0.000,WAIT,idle,2,0,0.007,-0.000,0.008,0.005,-0.004,0.001,1.5458
1785822681.094,0.000,WAIT,idle,2,0,0.007,-0.001,0.008,0.005,-0.005,0.001,1.5458
