t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1785820918.691,0.000,WAIT,idle,-1,0,-0.003,-0.050,0.009,-0.009,0.012,0.002,1.5452
1785820918.791,0.000,WAIT,idle,-1,0,-0.003,-0.049,0.009,-0.010,0.015,0.001,1.5452
1785820918.891,0.000,WAIT,idle,-1,0,-0.003,-0.048,0.008,-0.011,0.014,-0.004,1.5451
1785820918.991,0.000,WAIT,idle,-1,0,-0.003,-0.048,0.008,-0.009,0.014,-0.003,1.5451
1785820919.091,0.000,WAIT,idle,-1,0,-0.003,-0.047,0.008,-0.010,0.017,-0.001,1.5451
1785820919.191,0.000,WAIT,idle,-1,0,-0.003,-0.047,0.008,-0.008,0.017,0.002,1.5451
1785820919.291,0.000,WAIT,idle,-1,0,-0.003,-0.046,0.008,-0.009,0.017,0.002,1.5450
1785820919.391,0.000,WAIT,idle,-1,0,-0.003,-0.046,0.008,-0.008,0.015,0.003,1.5449
1785820919.491,0.000,WAIT,idle,-1,0,-0.003,-0.046,0.008,-0.008,0.014,0.002,1.5449
1785820919.591,0.000,WAIT,idle,-1,0,-0.002,-0.047,0.008,-0.007,0.011,0.002,1.5449
1785820919.691,0.000,WAIT,idle,-1,0,-0.002,-0.047,0.008,-0.005,0.009,0.001,1.5450
1785820919.791,0.000,WAIT,idle,-1,0,-0.002,-0.048,0.007,-0.005,0.007,0.001,1.5449
1785820919.891,0.000,WAIT,idle,-1,0,-0.001,-0.049,0.007,-0.004,0.005,0.001,1.5449
1785820919.991,0.000,WAIT,idle,-1,0,-0.001,-0.049,0.006,-0.005,0.005,0.001,1.5451
1785820920.091,0.000,WAIT,idle,-1,0,-0.001,-0.050,0.006,-0.005,0.000,0.000,1.5452
1785820920.191,0.000,WAIT,idle,-1,0,-0.001,-0.051,0.006,-0.005,0.002,0.000,1.5453
1785820920.291,0.000,WAIT,idle,-1,0,-0.001,-0.052,0.005,-0.004,0.000,-0.002,1.5453
1785820920.391,0.000,WAIT,idle,-1,0,-0.001,-0.052,0.005,-0.004,-0.000,-0.003,1.5452
1785820920.491,0.000,WAIT,idle,-1,0,-0.000,-0.053,0.004,-0.003,-0.001,-0.002,1.5450
1785820920.591,0.000,WAIT,idle,-1,0,-0.000,-0.053,0.004,-0.004,-0.002,-0.001,1.5450
1785820920.691,0.000,WAIT,idle,-1,0,-0.000,-0.053,0.004,-0.002,-0.003,-0.001,1.5451
1785820920.791,0.000,WAIT,idle,-1,0,-0.000,-0.054,0.004,-0.002,-0.005,0.000,1.5451
1785820920.891,0.000,WAIT,idle,-1,0,0.000,-0.054,0.004,-0.001,-0.006,-0.002,1.5451
1785820920.991,0.000,WAIT,idle,-1,0,0.000,-0.055,0.004,-0.002,-0.007,-0.003,1.5450
1785820921.091,0.000,WAIT,idle,-1,0,0.000,-0.055,0.004,-0.002,-0.006,-0.007,1.5450
1785820921.191,0.000,WAIT,idle,-1,0,0.000,-0.055,0.003,-0.002,-0.004,-0.007,1.5450
1785820921.291,0.000,WAIT,idle,-1,0,0.000,-0.055,0.003,0.001,-0.002,-0.005,1.5452
1785820921.391,0.000,WAIT,idle,-1,0,0.001,-0.054,0.002,0.002,-0.003,-0.006,1.5452
1785820921.491,0.000,WAIT,idle,-1,0,0.001,-0.054,0.002,0.001,-0.002,-0.004,1.5453
1785820921.591,0.000,WAIT,idle,-1,0,0.001,-0.054,0.001,-0.000,-0.000,-0.005,1.5454
1785820921.691,0.000,WAIT,idle,-1,0,0.001,-0.053,0.001,-0.002,-0.000,-0.003,1.5454
1785820921.791,0.000,WAIT,idle,-1,0,0.001,-0.053,0.001,-0.000,0.000,-0.003,1.5454
1785820921.891,0.000,WAIT,idle,-1,0,0.001,-0.053,0.002,0.000,0.003,-0.002,1.5453
1785820921.991,0.000,WAIT,idle,-1,0,0.001,-0.052,0.002,-0.001,0.003,-0.003,1.5453
1785820922.091,0.000,WAIT,idle,-1,0,0.001,-0.052,0.002,-0.004,0.003,-0.004,1.5452
1785820922.191,0.000,WAIT,idle,-1,0,0.000,-0.052,0.002,-0.003,0.004,-0.004,1.5451
1785820922.291,0.000,WAIT,idle,-1,0,0.000,-0.051,0.002,-0.004,0.002,-0.003,1.5451
1785820922.391,0.000,WAIT,idle,-1,0,0.000,-0.051,0.002,-0.007,0.003,-0.004,1.5451
1785820922.491,0.000,WAIT,idle,-1,0,-0.000,-0.051,0.002,-0.007,0.001,-0.004,1.5451
1785820922.591,0.000,WAIT,idle,-1,0,-0.000,-0.052,0.002,-0.007,0.001,-0.005,1.5452
1785820922.691,0.000,WAIT,idle,-1,0,-0.001,-0.052,0.001,-0.008,0.003,-0.004,1.5451
1785820922.791,0.000,WAIT,idle,-1,0,-0.001,-0.052,0.001,-0.006,0.000,-0.007,1.5449
1785820922.891,0.000,WAIT,idle,-1,0,-0.001,-0.052,0.000,-0.006,-0.001,-0.007,1.5448
1785820922.991,0.000,WAIT,idle,-1,0,-0.001,-0.052,0.000,-0.007,0.001,-0.005,1.5446
1785820923.091,0.000,WAIT,idle,-1,0,-0.001,-0.052,0.000,-0.007,0.002,-0.003,1.5447
1785820923.191,0.000,WAIT,idle,-1,0,-0.001,-0.052,0.000,-0.007,0.005,0.001,1.5445
1785820923.291,0.000,WAIT,idle,-1,0,-0.001,-0.052,0.001,-0.007,0.005,-0.001,1.5445
1785820923.391,0.000,WAIT,idle,-1,0,-0.001,-0.052,0.000,-0.007,0.005,-0.003,1.5446
1785820923.491,0.000,WAIT,idle,-1,0,-0.001,-0.051,0.000,-0.007,0.002,-0.003,1.5446
