t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1786526798.905,1.500,ENGAGED,SETTLE 1/4s,14,1,-4.790,19.962,-1.657,-0.047,-0.010,0.027,1.1507
1786526799.007,1.601,ENGAGED,SETTLE 2/4s,14,1,-4.796,19.966,-1.656,0.003,0.021,0.029,1.1503
1786526799.105,1.700,ENGAGED,SETTLE 2/4s,14,1,-4.805,19.972,-1.658,-0.011,0.015,0.016,1.1499
1786526799.205,1.800,ENGAGED,SETTLE 2/4s,14,1,-4.810,19.977,-1.658,-0.019,-0.044,0.026,1.1507
1786526799.305,1.900,ENGAGED,SETTLE 2/4s,14,1,-4.814,19.979,-1.658,0.015,0.025,0.025,1.1512
1786526799.405,2.000,ENGAGED,SETTLE 2/4s,14,1,-4.816,19.981,-1.658,0.012,-0.034,0.032,1.1521
1786526799.505,2.100,ENGAGED,SETTLE 2/4s,14,1,-4.818,19.979,-1.659,-0.002,-0.045,0.018,1.1536
1786526799.605,2.200,ENGAGED,SETTLE 2/4s,14,1,-4.820,19.975,-1.660,0.055,-0.018,0.019,1.1566
1786526799.705,2.300,ENGAGED,SETTLE 2/4s,14,1,-4.819,19.971,-1.661,0.025,-0.074,0.015,1.1592
1786526799.805,2.400,ENGAGED,SETTLE 2/4s,14,1,-4.817,19.966,-1.661,0.015,-0.104,0.014,1.1598
1786526799.905,2.500,ENGAGED,SETTLE 2/4s,14,1,-4.813,19.961,-1.661,0.033,-0.062,0.028,1.1593
1786526800.006,2.601,ENGAGED,SETTLE 3/4s,14,1,-4.808,19.957,-1.660,0.018,-0.078,0.027,1.1578
1786526800.105,2.700,ENGAGED,SETTLE 3/4s,14,1,-4.804,19.954,-1.659,0.050,-0.063,0.026,1.1565
1786526800.205,2.800,ENGAGED,SETTLE 3/4s,14,1,-4.800,19.954,-1.658,0.021,-0.066,0.032,1.1544
1786526800.305,2.900,ENGAGED,SETTLE 3/4s,14,1,-4.797,19.952,-1.657,0.001,-0.083,0.031,1.1511
1786526800.405,3.000,ENGAGED,SETTLE 3/4s,14,1,-4.796,19.951,-1.656,0.001,-0.062,0.026,1.1480
1786526800.505,3.100,ENGAGED,SETTLE 3/4s,14,1,-4.795,19.950,-1.655,0.005,-0.069,0.023,1.1453
1786526800.605,3.200,ENGAGED,SETTLE 3/4s,14,1,-4.793,19.950,-1.655,0.016,-0.076,0.027,1.1447
1786526800.705,3.300,ENGAGED,SETTLE 3/4s,14,1,-4.790,19.949,-1.654,0.026,-0.048,0.025,1.1435
1786526800.805,3.400,ENGAGED,SETTLE 3/4s,14,1,-4.788,19.951,-1.655,0.013,-0.046,0.016,1.1439
1786526800.905,3.500,ENGAGED,SETTLE 3/4s,14,1,-4.786,19.950,-1.656,0.012,-0.051,0.016,1.1435
1786526801.006,3.601,ENGAGED,SETTLE 4/4s,14,1,-4.782,19.945,-1.658,-0.003,-0.104,0.005,1.1420
1786526801.106,3.700,ENGAGED,SETTLE 4/4s,14,1,-4.777,19.941,-1.659,0.074,-0.054,0.011,1.1415
1786526801.205,3.800,ENGAGED,SETTLE 4/4s,14,1,-4.769,19.934,-1.660,0.027,-0.083,0.004,1.1421
1786526801.306,3.900,ENGAGED,SETTLE 4/4s,14,1,-4.764,19.928,-1.661,0.064,-0.082,0.020,1.1435
1786526801.405,4.000,ENGAGED,SETTLE 4/4s,14,1,-4.758,19.917,-1.662,0.011,-0.111,0.014,1.1470
1786526801.506,4.101,ENGAGED,FIGURE8 0/30s (0%),14,1,-4.753,19.908,-1.662,0.036,-0.112,0.014,1.1488
1786526801.606,4.201,ENGAGED,FIGURE8 0/30s (1%),14,1,-4.748,19.896,-1.661,0.028,-0.148,-0.000,1.1743
1786526801.705,4.300,ENGAGED,FIGURE8 0/30s (1%),14,1,-4.750,19.889,-1.667,-0.046,0.059,-0.064,1.3402
1786526801.805,4.400,ENGAGED,FIGURE8 0/30s (1%),14,1,-4.760,19.910,-1.674,-0.128,0.336,-0.036,1.4974
1786526801.906,4.501,ENGAGED,FIGURE8 0/30s (2%),14,1,-4.775,19.953,-1.676,-0.185,0.578,0.004,1.6082
1786526802.006,4.600,WAIT,FIGURE8 0/30s (2%),2,1,-4.797,20.012,-1.676,-0.305,0.855,0.027,1.6790
1786526802.105,4.700,WAIT,FIGURE8 0/30s (2%),2,1,-4.821,20.090,-1.677,-0.264,0.835,-0.016,1.6685
1786526802.205,4.800,WAIT,FIGURE8 0/30s (2%),2,1,-4.836,20.151,-1.680,-0.227,0.683,-0.026,1.6575
1786526802.305,4.900,WAIT,FIGURE8 0/30s (2%),2,1,-4.847,20.193,-1.683,-0.184,0.489,-0.007,1.6492
1786526802.405,5.000,WAIT,FIGURE8 0/30s (2%),2,1,-4.850,20.224,-1.685,-0.106,0.339,0.009,1.6390
1786526802.505,5.100,WAIT,FIGURE8 0/30s (2%),2,1,-4.849,20.246,-1.686,-0.079,0.224,0.015,1.6292
1786526802.605,5.200,WAIT,FIGURE8 0/30s (2%),2,1,-4.842,20.255,-1.687,-0.021,0.107,0.030,1.6209
1786526802.705,5.300,WAIT,FIGURE8 0/30s (2%),2,1,-4.835,20.257,-1.687,-0.028,0.061,0.023,1.6155
1786526802.805,5.400,WAIT,FIGURE8 0/30s (2%),2,1,-4.829,20.255,-1.686,-0.031,0.044,0.021,1.6117
1786526802.905,5.500,WAIT,FIGURE8 0/30s (2%),2,1,-4.826,20.254,-1.686,-0.033,0.046,0.019,1.6106
1786526803.005,5.600,WAIT,FIGURE8 0/30s (2%),2,1,-4.825,20.253,-1.685,-0.045,0.070,0.023,1.6131
1786526803.105,5.700,WAIT,FIGURE8 0/30s (2%),2,1,-4.825,20.252,-1.684,-0.024,0.105,0.032,1.6153
1786526803.205,5.800,WAIT,FIGURE8 0/30s (2%),2,1,-4.824,20.252,-1.682,-0.044,0.042,0.025,1.6163
1786526803.305,5.900,WAIT,FIGURE8 0/30s (2%),2,1,-4.826,20.253,-1.681,-0.049,0.068,0.014,1.6186
1786526803.405,6.000,WAIT,FIGURE8 0/30s (2%),2,1,-4.829,20.255,-1.681,-0.044,0.073,0.015,1.6217
1786526803.505,6.100,WAIT,FIGURE8 0/30s (2%),2,1,-4.832,20.257,-1.680,-0.028,0.075,0.007,1.6242
1786526803.605,6.200,WAIT,FIGURE8 0/30s (2%),2,1,-4.837,20.258,-1.680,-0.048,0.081,0.014,1.6244
1786526803.705,6.300,WAIT,FIGURE8 0/30s (2%),2,1,-4.842,20.260,-1.679,-0.028,0.129,0.020,1.6237
1786526803.805,6.400,WAIT,FIGURE8 0/30s (2%),2,1,-4.848,20.261,-1.677,-0.058,0.055,0.010,1.6240
1786526803.905,6.500,WAIT,FIGURE8 0/30s (2%),2,1,-4.854,20.263,-1.676,-0.036,0.096,0.014,1.6252
