t,nav,armed,sp_x,sp_y,sp_alt,x,y,alt,eph,epv,xy_valid,z_valid,rst_xy,rst_z
14.607,2,1,nan,nan,nan,9.7171,-0.0906,7.4566,0.126,0.029,1,1,3,2
14.706,2,1,nan,nan,nan,9.7032,-0.0894,7.4741,0.131,0.029,1,1,3,2
14.808,2,1,nan,nan,nan,9.6982,-0.0871,7.4749,0.135,0.029,1,1,3,2
14.903,2,1,nan,nan,nan,9.6982,-0.0871,7.4749,0.135,0.029,1,1,3,2
15.008,2,1,nan,nan,nan,9.6982,-0.0871,7.4749,0.135,0.029,1,1,3,2
15.104,2,1,nan,nan,nan,9.6982,-0.0871,7.4749,0.135,0.029,1,1,3,2
15.210,2,1,nan,nan,nan,9.6982,-0.0871,7.4749,0.135,0.029,1,1,3,2
15.305,2,1,nan,nan,nan,9.6982,-0.0871,7.4749,0.135,0.029,1,1,3,2
15.410,2,1,nan,nan,nan,9.6982,-0.0871,7.4749,0.135,0.029,1,1,3,2
15.505,2,1,nan,nan,nan,9.6982,-0.0871,7.4749,0.135,0.029,1,1,3,2
15.604,2,1,nan,nan,nan,9.6842,-0.0823,7.4803,0.136,0.030,1,1,3,2
15.710,2,1,nan,nan,nan,9.6842,-0.0823,7.4803,0.136,0.030,1,1,3,2
15.804,2,1,nan,nan,nan,9.6842,-0.0823,7.4803,0.136,0.030,1,1,3,2
15.910,2,1,nan,nan,nan,9.6842,-0.0823,7.4803,0.136,0.030,1,1,3,2
16.005,2,1,nan,nan,nan,9.6842,-0.0823,7.4803,0.136,0.030,1,1,3,2
16.110,2,1,nan,nan,nan,9.6842,-0.0823,7.4803,0.136,0.030,1,1,3,2
16.206,2,1,nan,nan,nan,9.6842,-0.0823,7.4803,0.136,0.030,1,1,3,2
16.301,2,1,nan,nan,nan,9.6171,-0.1297,7.5170,0.152,0.031,1,1,3,2
16.406,2,1,nan,nan,nan,9.6171,-0.1297,7.5170,0.152,0.031,1,1,3,2
16.500,2,1,nan,nan,nan,9.6171,-0.1297,7.5170,0.152,0.031,1,1,3,2
16.606,2,1,nan,nan,nan,9.6171,-0.1297,7.5170,0.152,0.031,1,1,3,2
16.701,2,1,nan,nan,nan,9.6171,-0.1297,7.5170,0.152,0.031,1,1,3,2
16.807,2,1,nan,nan,nan,9.6171,-0.1297,7.5170,0.152,0.031,1,1,3,2
16.900,2,1,nan,nan,nan,9.5947,-0.1499,7.5205,0.154,0.031,1,1,3,2
17.005,2,1,nan,nan,nan,9.5597,-0.1777,7.5223,0.160,0.031,1,1,3,2
17.102,2,1,nan,nan,nan,9.5443,-0.2169,7.5181,0.158,0.031,1,1,3,2
17.208,2,1,nan,nan,nan,9.5443,-0.2169,7.5181,0.158,0.031,1,1,3,2
17.303,2,1,nan,nan,nan,9.5443,-0.2169,7.5181,0.158,0.031,1,1,3,2
17.409,2,1,nan,nan,nan,9.5443,-0.2169,7.5181,0.158,0.031,1,1,3,2
17.501,2,1,nan,nan,nan,9.5425,-0.2267,7.5177,0.162,0.031,1,1,3,2
17.601,2,1,nan,nan,nan,9.4918,-0.3176,7.4865,0.165,0.032,1,1,3,2
17.702,2,1,nan,nan,nan,9.4558,-0.3458,7.4337,0.168,0.032,1,1,3,2
17.802,2,1,nan,nan,nan,9.4518,-0.3449,7.4247,0.171,0.032,1,1,3,2
17.903,2,1,nan,nan,nan,9.4435,-0.3442,7.4104,0.169,0.032,1,1,3,2
18.008,2,1,nan,nan,nan,9.4435,-0.3442,7.4104,0.169,0.032,1,1,3,2
18.103,2,1,nan,nan,nan,9.4435,-0.3442,7.4104,0.169,0.032,1,1,3,2
18.209,2,1,nan,nan,nan,9.4435,-0.3442,7.4104,0.169,0.032,1,1,3,2
18.304,2,1,nan,nan,nan,9.4435,-0.3442,7.4104,0.169,0.032,1,1,3,2
18.409,2,1,nan,nan,nan,9.4435,-0.3442,7.4104,0.169,0.032,1,1,3,2
18.504,2,1,nan,nan,nan,9.4272,-0.2906,7.3302,0.167,0.032,1,1,3,2
18.603,2,1,nan,nan,nan,9.4286,-0.2830,7.3377,0.171,0.033,1,1,3,2
18.705,2,1,nan,nan,nan,9.4321,-0.2743,7.3441,0.169,0.032,1,1,3,2
18.807,2,1,nan,nan,nan,9.4353,-0.2683,7.3447,0.174,0.032,1,1,3,2
18.900,2,1,nan,nan,nan,9.4385,-0.2634,7.3450,0.173,0.033,1,1,3,2
19.005,2,1,nan,nan,nan,9.4415,-0.2629,7.3454,0.176,0.033,1,1,3,2
19.106,2,1,nan,nan,nan,9.4470,-0.2661,7.3458,0.174,0.033,1,1,3,2
19.204,2,1,nan,nan,nan,9.4545,-0.2710,7.3411,0.173,0.033,1,1,3,2
19.309,2,1,nan,nan,nan,9.4618,-0.2775,7.3352,0.173,0.033,1,1,3,2
19.404,2,1,nan,nan,nan,9.4618,-0.2775,7.3352,0.173,0.033,1,1,3,2
19.510,2,1,nan,nan,nan,9.4618,-0.2775,7.3352,0.173,0.033,1,1,3,2
19.605,2,1,nan,nan,nan,9.4618,-0.2775,7.3352,0.173,0.033,1,1,3,2
19.710,2,1,nan,nan,nan,9.4618,-0.2775,7.3352,0.173,0.033,1,1,3,2
19.804,2,1,nan,nan,nan,9.4930,-0.3019,7.2797,0.177,0.033,1,1,3,2
19.907,2,1,nan,nan,nan,9.5036,-0.3040,7.2562,0.175,0.033,1,1,3,2
20.004,2,1,nan,nan,nan,9.5119,-0.3050,7.2301,0.173,0.033,1,1,3,2
20.102,2,1,nan,nan,nan,9.5153,-0.3064,7.2131,0.176,0.033,1,1,3,2
20.206,2,1,nan,nan,nan,9.5193,-0.3071,7.1942,0.172,0.033,1,1,3,2
20.301,2,1,nan,nan,nan,9.5193,-0.3071,7.1942,0.172,0.033,1,1,3,2
20.406,2,1,nan,nan,nan,9.5193,-0.3071,7.1942,0.172,0.033,1,1,3,2
20.504,2,1,nan,nan,nan,9.5239,-0.3086,7.1724,0.170,0.033,1,1,3,2
20.606,2,1,nan,nan,nan,9.5244,-0.3087,7.1697,0.170,0.033,1,1,3,2
20.701,2,1,nan,nan,nan,9.5244,-0.3087,7.1697,0.170,0.033,1,1,3,2
20.806,2,1,nan,nan,nan,9.5244,-0.3087,7.1697,0.170,0.033,1,1,3,2
20.901,2,1,nan,nan,nan,9.5244,-0.3087,7.1697,0.170,0.033,1,1,3,2
21.004,2,1,nan,nan,nan,9.5258,-0.3001,7.0211,0.174,0.033,1,1,3,2
21.109,2,1,nan,nan,nan,9.5227,-0.2888,6.9722,0.180,0.033,1,1,3,2
21.205,2,1,nan,nan,nan,9.5227,-0.2888,6.9722,0.180,0.033,1,1,3,2
21.300,2,1,nan,nan,nan,9.5227,-0.2888,6.9722,0.180,0.033,1,1,3,2
21.405,2,1,nan,nan,nan,9.5227,-0.2888,6.9722,0.180,0.033,1,1,3,2
21.501,2,1,nan,nan,nan,9.5227,-0.2888,6.9722,0.180,0.033,1,1,3,2
21.606,2,1,nan,nan,nan,9.5227,-0.2888,6.9722,0.180,0.033,1,1,3,2
21.705,2,1,nan,nan,nan,9.5129,-0.2785,6.8965,0.176,0.033,1,1,3,2
21.803,2,1,nan,nan,nan,9.4925,-0.2685,6.8036,0.176,0.033,1,1,3,2
21.902,2,1,nan,nan,nan,9.4801,-0.2570,6.7443,0.170,0.032,1,1,3,2
22.008,2,1,nan,nan,nan,9.4716,-0.2501,6.7113,0.175,0.032,1,1,3,2
22.103,2,1,nan,nan,nan,9.4716,-0.2501,6.7113,0.175,0.032,1,1,3,2
22.209,2,1,nan,nan,nan,9.4716,-0.2501,6.7113,0.175,0.032,1,1,3,2
22.303,2,1,nan,nan,nan,9.4716,-0.2501,6.7113,0.175,0.032,1,1,3,2
22.406,2,1,nan,nan,nan,9.4539,-0.2353,6.6507,0.169,0.032,1,1,3,2
22.501,2,1,nan,nan,nan,9.4539,-0.2353,6.6507,0.169,0.032,1,1,3,2
22.607,2,1,nan,nan,nan,9.4539,-0.2353,6.6507,0.169,0.032,1,1,3,2
22.707,2,1,nan,nan,nan,9.4146,-0.2066,6.6200,0.171,0.031,1,1,3,2
22.802,2,1,nan,nan,nan,9.4146,-0.2066,6.6200,0.171,0.031,1,1,3,2
22.909,2,1,nan,nan,nan,9.4116,-0.2051,6.6243,0.166,0.032,1,1,3,2
23.005,2,1,nan,nan,nan,9.3892,-0.1963,6.6362,0.165,0.032,1,1,3,2
23.100,2,1,nan,nan,nan,9.3892,-0.1963,6.6362,0.165,0.032,1,1,3,2
23.206,2,1,nan,nan,nan,9.3892,-0.1963,6.6362,0.165,0.032,1,1,3,2
23.302,2,1,nan,nan,nan,9.3892,-0.1963,6.6362,0.165,0.032,1,1,3,2
23.407,2,1,nan,nan,nan,9.3892,-0.1963,6.6362,0.165,0.032,1,1,3,2
23.502,2,1,nan,nan,nan,9.3892,-0.1963,6.6362,0.165,0.032,1,1,3,2
23.608,2,1,nan,nan,nan,9.3892,-0.1963,6.6362,0.165,0.032,1,1,3,2
23.703,2,1,nan,nan,nan,9.3365,-0.1583,6.5941,0.162,0.032,1,1,3,2
23.800,2,1,nan,nan,nan,9.3422,-0.1528,6.5923,0.167,0.032,1,1,3,2
23.903,2,1,nan,nan,nan,9.3482,-0.1453,6.5856,0.164,0.032,1,1,3,2
24.003,2,1,nan,nan,nan,9.3491,-0.1448,6.5852,0.165,0.032,1,1,3,2
24.108,2,1,nan,nan,nan,9.3491,-0.1448,6.5852,0.165,0.032,1,1,3,2
24.203,2,1,nan,nan,nan,9.3491,-0.1448,6.5852,0.165,0.032,1,1,3,2
24.308,2,1,nan,nan,nan,9.3491,-0.1448,6.5852,0.165,0.032,1,1,3,2
24.403,2,1,nan,nan,nan,9.3491,-0.1448,6.5852,0.165,0.032,1,1,3,2
24.503,2,1,nan,nan,nan,9.4245,-0.1584,6.5689,0.162,0.033,1,1,3,2
24.603,2,1,nan,nan,nan,9.4398,-0.1620,6.5662,0.167,0.033,1,1,3,2
24.702,2,1,nan,nan,nan,9.4425,-0.1626,6.5658,0.162,0.032,1,1,3,2
24.808,2,1,nan,nan,nan,9.4425,-0.1626,6.5658,0.162,0.032,1,1,3,2
24.906,2,1,nan,nan,nan,9.4502,-0.1638,6.5634,0.165,0.032,1,1,3,2
25.005,2,1,nan,nan,nan,9.4817,-0.1722,6.5603,0.163,0.032,1,1,3,2
25.101,2,1,nan,nan,nan,9.4842,-0.1727,6.5603,0.164,0.033,1,1,3,2
25.205,2,1,nan,nan,nan,9.4879,-0.1741,6.5603,0.160,0.032,1,1,3,2
25.300,2,1,nan,nan,nan,9.4879,-0.1741,6.5603,0.160,0.032,1,1,3,2
25.407,2,1,nan,nan,nan,9.4936,-0.1768,6.5598,0.165,0.033,1,1,3,2
25.510,2,1,nan,nan,nan,9.5051,-0.1875,6.5614,0.163,0.033,1,1,3,2
25.605,2,1,nan,nan,nan,9.5054,-0.1877,6.5610,0.164,0.033,1,1,3,2
25.702,2,1,nan,nan,nan,9.5053,-0.1883,6.5606,0.165,0.033,1,1,3,2
25.807,2,1,nan,nan,nan,9.5053,-0.1883,6.5606,0.165,0.033,1,1,3,2
25.902,2,1,nan,nan,nan,9.5053,-0.1883,6.5606,0.165,0.033,1,1,3,2
26.007,2,1,nan,nan,nan,9.5053,-0.1883,6.5606,0.165,0.033,1,1,3,2
26.110,2,1,nan,nan,nan,9.5037,-0.1906,6.5573,0.170,0.033,1,1,3,2
26.205,2,1,nan,nan,nan,9.5037,-0.1906,6.5573,0.170,0.033,1,1,3,2
26.300,2,1,nan,nan,nan,9.5037,-0.1906,6.5573,0.170,0.033,1,1,3,2
26.406,2,1,nan,nan,nan,9.5037,-0.1906,6.5573,0.170,0.033,1,1,3,2
26.501,2,1,nan,nan,nan,9.5037,-0.1906,6.5573,0.170,0.033,1,1,3,2
26.602,2,1,nan,nan,nan,9.5046,-0.1864,6.5564,0.171,0.033,1,1,3,2
26.707,2,1,nan,nan,nan,9.5055,-0.1853,6.5563,0.167,0.033,1,1,3,2
26.802,2,1,nan,nan,nan,9.5055,-0.1853,6.5563,0.167,0.033,1,1,3,2
26.908,2,1,nan,nan,nan,9.5066,-0.1845,6.5566,0.171,0.033,1,1,3,2
27.002,2,1,nan,nan,nan,9.5083,-0.1846,6.5566,0.169,0.033,1,1,3,2
27.107,2,1,nan,nan,nan,9.5083,-0.1846,6.5566,0.169,0.033,1,1,3,2
27.201,2,1,nan,nan,nan,9.5083,-0.1846,6.5566,0.169,0.033,1,1,3,2
27.302,2,1,nan,nan,nan,9.5074,-0.2138,6.5550,0.167,0.033,1,1,3,2
27.408,2,1,nan,nan,nan,9.5076,-0.2149,6.5550,0.168,0.033,1,1,3,2
27.503,2,1,nan,nan,nan,9.5076,-0.2149,6.5550,0.168,0.033,1,1,3,2
27.610,2,1,nan,nan,nan,9.5037,-0.2261,6.5514,0.170,0.033,1,1,3,2
27.706,2,1,nan,nan,nan,9.5022,-0.2278,6.5511,0.166,0.033,1,1,3,2
27.802,2,1,nan,nan,nan,9.5022,-0.2278,6.5511,0.166,0.033,1,1,3,2
27.905,2,1,nan,nan,nan,9.4930,-0.2411,6.5532,0.166,0.034,1,1,3,2
28.004,2,1,nan,nan,nan,9.4915,-0.2365,6.5512,0.168,0.034,1,1,3,2
28.108,2,1,nan,nan,nan,9.4913,-0.2307,6.5446,0.169,0.034,1,1,3,2
